PublishedAgo,Salary,Rating,Employer,JobTitle,Location,Size,Founded,Type,Industry,Sector,Revenue
20d,$139K - $209K (Employer est.),4.2,"Workday
4.2",Machine Learning Engineer - NLP - Workforce,"Atlanta, GA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
30d+,$121K - $239K (Employer est.),4.4,"Adobe
4.4",Research Scientist/Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
5d,$100K - $203K (Employer est.),3.6,"Warner Music Group
3.6",Software Engineer,"New York, NY",1001 to 5000 Employees,2003,Company - Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD)
30d+,$105K - $165K (Glassdoor est.),3.8,"Forward
3.8","Software Engineer, Computer Vision","San Francisco, CA",Unknown,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
24d,$121K - $174K (Glassdoor est.),4.2,"NOKIA
4.2",Software Engineering Coop,"Sunnyvale, CA",10000+ Employees,1865,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
9d,-1,3.9,"Medtronic
3.9",Computer Vision AI/ML Engineer,"Brooklyn Center, MN",10000+ Employees,1949,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
30d+,-1,4.5,"Dropbox
4.5","Director of Engineering, New AI Initiatives",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
3d,$173K - $241K (Employer est.),3.9,"Meta
3.9","Software Engineer, Machine Learning - Generative AI","Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
30d+,$136K - $194K (Glassdoor est.),3.5,"Discord
3.5",Staff Software Engineer - Applied Machine Learning,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
18d,-1,4.5,"Dropbox
4.5","Principal Software Engineer, New Initiatives",United States,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
30d+,-1,4.5,"Dropbox
4.5","Principal Machine Learning Engineer, New Initiatives",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
9d,$171K - $236K (Employer est.),3.6,"Sephora USA
3.6","Principal Engineer, ML","San Francisco, CA",10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD)
18d,$115K - $198K (Employer est.),4.2,"Autodesk
4.2",Machine Learning Engineer,"San Francisco, CA",10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
12d,$121K - $163K (Employer est.),3.5,"Eightfold.AI
3.5",Machine Learning Engineer,"Santa Clara, CA",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
9d,$97K - $234K (Employer est.),4.0,"PayPal
4.0",AI Machine Learning Engineer,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
20d,$139K - $209K (Employer est.),4.2,"Workday
4.2",Machine Learning Engineer - NLP - Workforce,"Atlanta, GA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
30d+,$121K - $239K (Employer est.),4.4,"Adobe
4.4",Research Scientist/Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
18d,$121K - $181K (Glassdoor est.),3.6,"Tesla
3.6",ML Supercomputer Performance Software Engineer - Autopilot AI / Tesla Bot (System-Level),"Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD)
4d,$141K - $282K (Employer est.),4.4,"Adobe
4.4",Senior ML Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
30d+,$160K - $190K (Employer est.),5.0,"Runway AI
5.0",Staff Frontend Engineer,Remote,1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
30d+,$117K - $214K (Employer est.),4.4,"Adobe
4.4",Machine Learning Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
30d+,-1,3.3,"Vanilla Technologies Inc.
3.3",AI/ML Engineer,Remote,Unknown,,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,Unknown / Non-Applicable
4d,-1,3.3,"Vanilla Technologies Inc.
3.3",Software Engineer- AI/ML,Remote,Unknown,,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,Unknown / Non-Applicable
30d+,$87K - $147K (Employer est.),4.2,"Affinity.co
4.2",Machine Learning Engineer,Remote,201 to 500 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
30d+,$60K - $89K (Glassdoor est.),3.4,"Paradyme Management
3.4",Junior AI/ML Software Developer,"Washington, DC",51 to 200 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
17d,$117K (Employer est.),3.9,"Zoom Video Communications, Inc.
3.9",Machine Learning Engineer,"San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
3d,$137K - $205K (Employer est.),3.5,"TikTok
3.5","Research Engineer, University Graduates (Machine Learning Sys-US) - 2024 Start (PhD)","San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
2d,$134K - $257K (Employer est.),4.3,"Microsoft
4.3","Principal Software Engineer (AI), Industry Solutions Engineering","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
30d+,$124K - $152K (Employer est.),3.9,"Harman International
3.9",Senior AI/ML Engineer,"Mountain View, CA",10000+ Employees,1980,Company - Private,Consumer Product Manufacturing,Manufacturing,$5 to $10 billion (USD)
8d,-1,4.5,"Digital Diagnostics, Inc.
4.5",Machine Learning Engineer,Remote,51 to 200 Employees,2010,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
3d,$173K - $241K (Employer est.),3.9,"Meta
3.9","Software Engineer, Machine Learning - Generative AI","Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
30d+,$136K - $194K (Glassdoor est.),3.5,"Discord
3.5",Staff Software Engineer - Applied Machine Learning,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
18d,-1,4.5,"Dropbox
4.5","Principal Software Engineer, New Initiatives",United States,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
2d,$134K - $257K (Employer est.),4.3,"Microsoft
4.3","Principal Software Engineer (AI), Industry Solutions Engineering","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
2d,$134K - $257K (Employer est.),4.3,"Microsoft
4.3","Machine Learning Engineer, Industry Solutions Engineering","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
9d,$171K - $236K (Employer est.),3.6,"Sephora USA
3.6","Principal Engineer, ML","San Francisco, CA",10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD)
1d,$160K - $190K (Employer est.),5.0,"MindsDB
5.0",Applied Machine Learning Engineer,"San Francisco, CA",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
